docid	V1	V2	place	keyid
postimeesew18930323	postimeesew18930323.2.24.3	<p>cLaukusetts „Imanta Teisel Lihawõtte pühal SS. märtsil s. a. Wöhrmauul pargis, seltsi korteris Piletite hinnad: Seltsiliikmed ja naes45 kop,. wõörad meesHrahwad 66 kop. Hakatus kell 9 õhtul, lopp kell 4 hom. Riias. . . i-.c -c - 20, märtsil 1893, &gt; Eestseisus. N'rgermusse wäiKeses saatis. »S. reiS: Ua testina. õõõõoõõõoooooo Endi järeljäänud osa Mmriideib, umb e s 100 Uatceritild meestel. pMaod tvv talweülitonda 150 paari paksustd puksa tOO milteeritud nsester. pllliisod 50 .. „ rstiindet müüme meie nüüd märksa!t alla valmistegemise hinna ära. Meie auustatud töötarwitajad teawad ja on selle pääle kindlad, et meie ainult moodsalt passiwaid ja hääft riidest wakmiAatud täösid pakuMe ja kausta waärt odawa hinnaga osta,' uiNestarwitamata mööda minna lasta.</p><p>S, Kaplan? Press', Tartus, Aleksandri uut nr. 8. OeXXMOOQOSOOOO Mul MMtrch. M.Nigqal, korrapäralitle elumaja ma ja omantt K r i st j Walt p a h mis Tõrwandi mõisa kandi--majadest mööda käib ja mõisa MM? põllust läbi läheb, on sõitmine ning ka jalgsi käimine kangesti ära keelatud. Möisawalitsus. N! ljahoidj M ja, üh S tulli, tõllahonne ja rohuaiaga Raja ja jalgratas (Pesociped on müüa Tallinnas, Wüikeßolesna unNlsas 389, traska UulgestllNtPgdli&gt;!okrs</p>	Tartu (1886-1944)	postimeesew
postimeesew18940401	postimeesew18940401.2.17.3	"<p>Ultilm.W' Mmama (osakond Berlini Keiser-panoraiuast Passagc) Tallinnas, Rataskaewu uulitsas, Malmrost majas nr, S«7, Reis läbi Lääne - Norramaa ja Kristiania. 60.V.72 M j j. WK. WsiUllllkaii kötiei! I. Weidendamm nr.2o, apostli koguduse palwe saalis, igal pühapäewal kell 2 p, l. ja neljapäewal õhtu kell 8, » Kuulutus. Wotikwere wallawalitsus, Torma kihlk,, kuulutab selleläbi, et 21, aprillil s, a, kell 11 e. l&gt; Wotikwere (end. Torma) wallamajas koo,m?istrite lvalimine saab olema i 1) Rääbise koolile, koolmeistri aastapalk 7 taalri maa pruukimine, ja 2) Wotikwere küla koolile, aas tapalk 75 rbl, puhast raha ja 2 dessatiui maa pruukimine. Kandidaadid, kellel kohaliku inspektori herra lubakirjad ette näidata on, palutakse"""" rahwale esitelemä ja proowilugsmisele tulla, Rääbise koolimajasse 18, ja Wotikwere külakoolimajasse 19. aprillil keR 5 p. l. Wvtikweres, 16, märzil 1834,. , Wallawanem! K. Orm anu. 67,72 Kirjutaja: Haugas,' wad üles wõtta, mälestuseks, niihästi üksikud inimesed kui ka seltstd Sõidud kodu ja piltide hinnad wõimalikult odaw a d, Teatust selle üle saab suusõnal ja kirjateel. Kirjade wastuseks palun 7- kop. mark ligi saata, Z Päewapiljuik A. J. Mdmaun, ..... «V Hksjon, -MS l laenukassas. Jaani uulitsas nr. 8, 5, aprillil s, a, kell 3 p, l, kuld ja hõbe asju, taskuuurisid, riideid ja muid asju, Pokka mõisas (Heidhof) Wönnil kihelkonnas miiüdakse 8, aprillil kell 10 hoiu, hobused, elajad ja wiljapuhastamise masinad, wankrid, põllutöö-riistad ja muud kraami ' oksjoni wiiftl wälja. 2,4 M õ i s a w a l i t s u s, Odaivad nahkrihmad mlltidakse C, G, Mü!ler'i kaupluses panga majas, kivisilla juures. I l slit« I i Riia aul, ma, 51, au Hääde tillgiutistega ärareisimise pärast äraanda. Kauba tegemine säälsamas, 68,71 Söögimaja Pood wäljaüürida WDe tarwltMd jalgratas on odawalt Wäike, Kalamaja uul, nr. 97, kort, 1, Tallinnas, Z hääd uut - UM"""" wedruwankrit Kwiitung, 2öo rbl, üle. Hendrik Settermanni nime pääl, on Ellistwere wallas ärakadunud. Palutakse sedn tähte tema omanikule Ellistweres, Matto talusse äraanda, hää waewapalga eest, 72</p>"	Tartu (1886-1944)	postimeesew
postimeesew18940509	postimeesew18940509.2.15.3	"<p>Pühapäewal tS. mail 18S4. Wõnnu kirikus Suur Mimlil! ksntsert Hakatus kell Vs3 pääle lõunat. Eeskawa: meestekoor, segakoor, orelimäng, soololaulud. Piletite hinnad: altari ees 75 kop., iiletval 49 kop., all 25 ja 15 kop. 99,101 EJmmsen Tiigi uulitsas nr. Lv, """"MA Minu haigete, iseäranis silmahaigete wastuwõtwise tunnid on - enne lõunat kella B—lo pärast „ 3 4. WlülnilüS kiimatele ttstlastele &gt; soowitan hääd ja odawat korterit kui ka söökisid. i Ka WSW nendele, kellel kohtu asjadega tegemist on, siin elawate Eesti keelt rääkiwate seaduse tundjate adrcssld juhatada. . , Eesti karsk. s. „Ustawusle"""" ökonom AunbauW, Lauluraamatud, &gt; kõwasti köidetud, on odawalt saada Tallinna Kubermangu wangihoone kontoris (Dom lossis). Keskmine suurus 50 kop. Mustad ja nahast kirjud 70 kop. Kullatud Särtega 1 rbl. ja lallimad. Säälsamas saatvad ka DM- kõiksugu raamatuköitmise tööd odawa hinnaga """"TE wastu wõctud. - 01.3 ! Põltsamaa Eesti Põllumeeste seltsi majaehitus ! saab 14. skp. pakkumise teel wäljaantud. I Jõukad ehitusemeistrid, kes oma kulu pääle ! seda tööd tahawad teha wõtta, tulgu llle- ! mal nimetatud Päewal kell 10 e. l. Uue- ! Põltsamaa mõisa pakkumisele. Ehituse kulud 5000—600» rubla, ! wastuwötmise seltsi poolt wäljamaksiud. i W Eestseisus. ! Madal jalgratas ou odawalt müüa ! Lilli uul. nr. 20, hoowi pääll Kii mk lliMMliliMll ! juures &gt; ou weel juunikuu alustuseni kuiwi pakkisid, plaukisid ja kõiksuguseid laudu saada. ! Kiomas, 8. motl 1894. ! Stapeli uulitsas ur. 3om müüa""""hää . deliga orel, seina peegel, knmmot, kirjutuse Pult, filt ja weel mõnda muud'. Küsida majaomaniku kaest säälsamas. Poodi koht ! Willakraastsid.! J Belgia maa, Diso«'i linna, P. j let'i wabriku »illa«qf,ua kraasi- ? ? sid mllüdakse wabriku omaniku rehk- » J nungi ja hinna eest: Tartos, uues K t pangamajas, G. H. Müllsr:, juures. 4 j Ainus. müüja Eesti, Liiwi ja Kuura J J maal.</p>"	Tartu (1886-1944)	postimeesew
postimeesew18940603	postimeesew18940603.2.13.2	"<p>Rinua-ehe. Medaljon 1. külg. Meie omG linnas Medaljon 2, külg. Zurzewis (Gartus) walmistatud 75-llastll priillstpldu maltstllse rinna- ehe ja uuri -Keti medaljon, mis iseäranis ilusas wormis ja puhtasti on tehtud. — RimMtuo mälestuse - margid ei ole mitte laulupidu platsil, waid esiteks kulukandjcr enese, „Postimehe"""" trükikojast ja „Ole- Z Miku"""" kontorist ning pidu-päewadel pidu platsi lvärawa wastu saada, s Rinna-ehe kullatud maksab ... 30 kop. Medaljon aluminiumist maksab . 20 „ Medaljon kullatud maksab ... 30 „ Ena m o st jat e l e odavamalt. Puhtast kullast ja hõbedast tehtakse üksi tellimise Pällte. Ka tehtakse medaljonisid ümarguses wormis. Otsin jällemüüjaid teistes linnades jä maal, ning annan nendele hääd protsendid. Auupaklikult Ms lambi kauplus Raatuse uul. nr. 2b, kiwisiöa ligidal, — - - &gt; » Jurjewis «Tartus), HL Jurjewis (Tartus). Barklai platsi taga, Wana uul. 6. S» ells V Varklai platsi taga, Wana uul. 6. Arstiriistade ja igasugu terasriistade töökoda. wastu, nii tui ka tem kunstjalgu ja puujakgu, toetamise - apparatisid' kubenwrihmasid jne. Kõiki parandamist, igasugu terariistade teritamist, uuesti karastamisi, shleistmisi ja nikeldamisi teen ruttu ja kõigeodawama hinna eest. DMt"""" Ka on sääl üks wiihepruuzitud madal jalgratas (Velociped) odawalt müüa. s SGSKGSGSSGSGGSGSGGSGGG^HGGGSKOGASGSGSSGGNGGSSGGGGG»GGGGSS Z Lahkeks tähelepanemiseks! - 8 Soowitan majapidajatele ja pumbameiftritele odawasti ja hästi tehtud pumba-zilind- 8 J rid kõiges suuruses, uued ja wanad parandamise tõõd. nii kui wiina, ja õlle köögi katlad, G V aparadid jn kõiksugu katalsepa-iöõd teen oma töötoas, Riia uul. nr. Il), """"MS hästi ja &gt; 8 paraja hinnaga. Müün odawasti ühe vähepruugitud õllejahutamtse - aparadi ja ühe uue 8 D Parist moodi järele tehtud õlleklaarimise aparadi. Palun lahkesti minu a dressi tähele &gt; üciiilla Katelsepp W. Lood, Jurjewis (Tartus).</p>"	Tartu (1886-1944)	postimeesew
postimeesew18940611	postimeesew18940611.2.10.1	"<p>Wanemuine seltfi aias Jaama uul. nr. 8 on Üleüldise Eesti Wabastuse Juub:li Täuulaulupidu ajal järgmised etendused: - Reedel 17 j«u«il f. a. LõbuöHtu. Näitemäng, muusika ja mitmesugused lõbustused. Piletite hiuuad: I. pl. 50 kop., 11. pl. S 0 kop., 111. Pl. 20 kop., IV. Pl. 15 kop., püäle selle weel margimaks. t.supöö&gt;vsl lg. juunil Udumäe kuningas. Algupäraline rahwatükk laulu ja tantsuga 4 waatufts (3 pildis). piülspäelvai IS juunil mustlase-tüdruk. Lsmsspäelval 20. juunil Teekond ümbck maailma 80 päewaga. Suur naljamäng b järgus (13 pildis). Piletite hiuuad: I. pl. 70 kop., ll.pl. 50 kop., 111. pl. 85 kop., IV. Pl. 25 kop., aia scisupilet 15 k., pääle selle margimaks. MS Halwa ilmaga eteudatakss kõik näitemängud saalis. Lähemad teated edaspidi. .Aug. W i e r a.</p><p>Müün kõW odawama hinnaga kustutamata lubja kulli ja wagum wnsil. Linna wõin ka Ätte saata Riia uul. nr. 48, Holmi n«l. IV. Rüütli uul. nr. Iv. """"WU Piltide raamisid, miimesugujeid pürStisid ja kammisid, albumisid jae. on odavalt saada W. Mamm. Tishleri ja ehituse tarvitab M. Eaugeruebo - 28^—-—. Aleksandri uulitsas ur. 20. Mkna rlnlilll ja tellist^ mille sess haamrid ja laagisid, mis lukussepad ja sepad tarvitada võivad, on müüs. Järeleküsida Roosi uul. 8, majahoidja käest. Jalgratas lßelociped), vähe pruugitud, on 70 rbl. eest mMa,"""" kaubahoovis nr. 36. GUGPOOÄ on 1. juulist äraanda Allee uulitsas ur 6. Järeleküsida säälsamas- 27 Uus Ufhleri pink Liivalaia uul. nr. 207. Letti ja riiulid soovitakse lihe väikese poodi jaoks osta Lähemat teatust Raatuse uulitsas, nr. 15. Hästi kastvanud aiahein on wäljarentida. Järeleküsida Aleksandri uul. m. 6, kuldsepp G. Jürgeus', juures. Würtsipood hää käidava koha vääl on iseäraliku juhtumise pärast äraanda. Lähemat uul- nr. 3, , söögimajas. 25 MM- Pood wiiljaüürida """"MU &gt; ja maja müüa Peterbu.ri uul. nr. 15, Jurjewis. 25,3 i</p>"	Tartu (1886-1944)	postimeesew
postimeesew18940615	postimeesew18940615.2.11.1	"<p>OOOOOOOOWOKGSD Wpbvvettan sopvAv. Vnpava oödae/iavir», iib 23. v6i'tt liouu, s?&gt; Moa MU sn&gt; IIoNtUULUiu OTMkSieki ei, GoOsA chpyuismu u «iors »s pbinui. Zö3i- llpöMUpurvli-uuro lipnön llpuvu 3USL»IÄ'ri&gt;, Nboil, uu 14. IlZS» 1394 r. 653. lp. bo«i&gt;. OsupöiNpi-: speeuuni,. Jurjewi (Tartu) linna maeti poolest antakse seeliibi teada, et neljapäewal 23. juunil kell e. l. linnawalitsuse ruumides õuna- ja marjamüüjate piatftd turu pääl enampakkumise teel wälja antakse. Ilma linnamalitsuse lubata ei tohi keegi kaupmees turu pääl seisupaika omale wõtta. 2,3 Linnapää A. v. Mock. Sõdsr.</p><p>7keemaja Weno uulitsag nr. 3 Koovituli I aiiluplä» ajal MM K NIM MiÄ^ tllssä, kodvvi, sNokc&gt;la6i, kaiiao, Uinoäaäi, mõäu jao. : riieti ilusaid tapetistd ja sTs? bordeftd joowib, laab neid """"Hirm umas wtisjöwÄsiku? 9 koo. rull ja kallimalt. Ka oa jääl semapappi, inaklaturi paberit, liimi, tärklist, »ael«, naesterahwa käekoti kd. vortmoorefid ja palju maod kaupa hästi odawa hiuua eest saada. Auupaklikukt A. Deelmann, Tallinnas. Kuuluga uulitsa nurgal. Ses paremat, puhtamat ja fiisgi odawat WM- juukselõtkamise ja habemeajamist iöod soomimad, saawad seda Aleksandri «ul. ur. 3 Jurjewis, Weue poodide poolt miuues tetue maja paremat kätt. Ka tekitatakse habemenugafid. Qts wähe sruugitud jalgratas jvolooipoä) oa odawasti miiijo nekrut, towisfionis Jaani unl. nr. 34 Valois'i juures.</p><p>Tmor-põsaune (Tenorh. 11. ehk 111. mängida) on 10 r. eest müüa. Anvpaklikult wimlimeister Aug. Kristal. odawalt müüa. Näha wõib igapäea&gt; kell 2—4 v. l. Kiiledeköögis, Tallinnas. 30,5 l Tütarlapsed, kes rättsepa tööd õppida soowiwad, igawad wastnwõetud Wäikse - Ranna wärawas Rothi m., kart. 1. Anderson, Tallinn. 34 Kahekordne puumaja, milles talwekorterid, on hääde tingimistega müüa Kadrintalis, Ltiwa uul. nr. 206 Tallinnas. JS relcWda sellessamas uul. nr. 219. . 39 Majad nr. 1S ja 21 Riia uulitsas on priitahtlikult müüa. Lähemat teatust annab C. Borck, 34,39 Riia uulitsas n&lt; 37.</p>"	Tartu (1886-1944)	postimeesew
postimeesew18940616	postimeesew18940616.2.13.3	"<p>MMal uulitsas ur. 13, hoovi</p><p>Mitmesugust Mmmm. Kõigeparemat Peterburi kondijahu, Superfosfati, Thomasfosfati, Kainiiti, Fosforit jahu, Lupja jne. soowitab odawalt koti ja waguni wiisi Georg Riit, 33 Riia uul. nr. 35. Wi&gt; Tallinna kilu soowitan purgi ja naela wiisi odawate hindadega 30 Peter MähsZsr Jucjewi panga taga, tura pääl. Kes suureks laulupiduks raha eest korterit soowiwad, need saawad teatust Raatuse uulitsas pä st rongide tulemise """"Jalgratas jVckchch wähe pruugitud on V 0 rbl. eest müüa Kaubahaowis nr. 3S. ja kontrabass Wanemuise muusikakoolist on müüa. Lähemat teatust annab Fortima uulitsas nr. Z, Männik.</p>"	Tartu (1886-1944)	postimeesew
postimeesew18940627	postimeesew18940627.2.15.1	"<p>St. Peterb.'Eesti karskuse-selts „Ustawus"""" Pühapäe«al, ». juulil s. a. KlMjne koosolek. Seltsi korteris """"HSM PäcwakorraiWsaal» olema muu scaS tähtsam: puuduwa«e eestseiwie l&gt;igete walimi! e ja palutakse selle põrast liikmeid rohkesti koosolekule tulla. Täh, 1. Neid liikmeid, kellel liikmemaks teise poolaasta eest s, a. maksta on, palutakse T Võitvad koosolekust osa wõtta. 9M Eestseis us. 1 ' pütigpsevvsl 24. juulil s, a. oi il/l &gt;! &gt; on seltsilülemete ?äsvt'akorral ou wuu ssas ssstssikirss vallmius. lläälsõiZust on ainult, Qöil, kes 1894 a. ssst aastaraka on inaksuuä. Hakatus.kell, 3x. I. 37.49 . Eestseisus.</p><p>tubaka ekstrakti putukate ärkaotamiseks niihästi toas kui aias, niisama on see hää puude ja põõsaste niisutamiseks, mille läbi igasugu kahjulikud putukad ära kaowad, siis ka koerte ja teiste majaloomade pesemiseks söödikute kaotümisektz hää on, soowitab S. voll KieserW rohu- ja wärwi kauplus Krameri aptegi kõrwal.</p><p>Rikke läinud paberit pakkimise tarwis on saada ä 5 kop. nael „Postimehe"""" trükikojas. Jieäraijse juhtumijeMri st on Wdru linnas wähe prungttud, pool - jalgratas (V vlQrtpSN) on odawalt müüa. Lähemaid teotusi poNzei väält. Ehituse ja mööbli M^tishlerid tarwitvb kohe tishler Sangernebo 8 Aleksandri uulitsas nr. 20/ Kaine ja töökas sepp wkib kohe lestwat ööd saada. Järeleküsida L. Umblia ttnsi Stapeli unl. nr. 2S, J»r&gt;ewiS. . 39 40 Kingsepa töötegija Wõib tööd saada pikendatud Aia uulitsas nr. 34. J. K e n n. Pärnus. Kõigeparem. Bergen raswa-heeringaid, Laotav Soome silkufid, Kiwi-süsi, sepa-süsi, Soola, Saperfosfati 12/13, 13/14°/° Thomasjahu, Koudi-jahu °'&lt;""""d°lacoö Zacke^Ko.. Pärnus.</p>"	Tartu (1886-1944)	postimeesew
postimeesew18940629	postimeesew18940629.2.15.4	"<p>Pra?gu ilmus ja ouuliüd „Postimshe"""" trükikojast saada MMdlst Eesti rahlva Vabastuse 75 aastajmbeti ta«a laatapibu lau ln d meeste- ja segakoorile. Hind -i 75 kop. Kes ülemal nimetatud raamatute hinna meile Postmarkides stssesaadab, sellele saadame raamatud kodu kätte. K, A. Hermann'i kirjastuses ilmunud uute raamatute nimekirja saadame igale sovwijale hinnata kodu kätte. TatuKontraHiftd, ostmise, pärimise ja kinkimise kui ka rendi kontrahisid 13 rbl. tükk kirjutab igapäew 3—6 p. l. P. v. Haller, ZurjewiS, Tähe uuk, nr. lk. Dr. ma. Kd. Seegrön Harju uulitsas Jaekschi majas nr. 469 Tallinnas. Wastuwõtmise tunnid on: enne lõunat kella '/e9 —10. Waeste wastuwötmine pärast lõunat k. 4—5. MGSRAKGW arwatud 5. juunist, jälle Elwas, Nderna jaama ligidal, elab ja haigeid Tartus ainult järgmistel s päewal wastu wõtab! laupäewal kella 7—B õhtul, piihapäewal kell 3 —ll e. l. ja B—4 p. 1., esmaspäewal 3—V-11 e. l. Tartus, Peterburi uul. «r »S. Weid, kellel nõudmisi laulupidu korteri - kommissionile on, palutakse seda kuni 8. juulini alamal nimetatud herrale üles anda. H. Stetnverg, Tallinna uulitsas nr. 1. WU- ZurjewiS, Uueturu uul. nr. SV.-MK uurmaakri töösid M. Tostiu, uurmaaker. DM"""" Palun adresst õigesti tähele panna. Praagita!» jalgratas on wolitusel 65 rbl. eest müüa C. Schmidt A Komp. 42 Peterburi uulitsas. hobuse sõnnikut ' on alati saada maneesjz Luisu uulitsas sQuapvcu-S r.) nr. 1. 45 Kohalikud turuhinnad. Leib, nael ........ 2 kop. Kartuhwlid, wakk 80—100 Hapu piim, toop 2—3 Wahu-koor, toop 60 Rõõsk koor, kortel g—4 , Pütiwõi, nael 18—20 js</p>"	Tartu (1886-1944)	postimeesew
postimeesew18940727	postimeesew18940727.2.16.3	"<p>Pärnu laada-platfil. Maailma imed. Waga tähtjas woatus ilma «vaidlemata, S 4. juulist kuni lv. augustini on laada platsil näha imed kõigest 5 maailma jagudest. Kõige tähtsamad kohad ja kujutused alt ja illetvalt ilmast. S»nr Mdv piiõstlOuiine tlingitustkga. S»«r elektri proowi «asiv, kus neiud ja peiud wöiwad teada saada, kuda mchele-miuek ja nasse-wõtmins on. Kunst päewa-childi üleswõtmine. kõige ruiemalt &gt;a kõige paremasti. Auupaklikult 60.2 «»rt VrontvlUt. Minu tütarlaste kool Tallinnas, Liiwalaia uul, nr, 240, Schmilewsky majas, algab Iv. augustil. Wasluwõtmine 8, augustist saadik. Kõige muude õpetuste lõrwal O. Niclasen.</p><p>Wiiga häiid seltfi wäijamaa WM°- harmomkad 40 kop. kuni so rbs. tükk müüb - A!kL. Mundt'""""uulttsas.</p><p>Uues mehanikatvötoas Roosi uulitsas nr. 8, tehtakse kõik mehauika tööd ja parandused, iseäranis jalgrataste, õmblusmasinale, elektri ja ukse kellade juures. Maal jalgrattade ehitajatele üksikud jaod iseäranis odawalt. Raua &gt;a wafe treimine ning Neid ehitajaid, kes ärapõlenud maja, Kiwi uul. nr. 3, uuesti ehitust enese hoolde lahawad wõtta, palutakse selle läbi endid Tartus Kiivi uul. vr. 6, hr Stadsn'i juures ülesanda. OÄW js WMe õpetust anlakie Roosi uul. ur. 11). Sääliamas wöetakse harüud oerekonda kostilapst wostv. Vunakavplvse asutanud Tallinnas, Suure ja Wäikc-Tatarskt uut. nurgal oma majas nr. 318. Palun kõiki Müün kõiki seltsi wiina ja õlut paraja hinnaga. 64 Auupaklikult W. Landsmauu. raua- ja teras--kaupa, ks-uss &gt; pappi trullides &gt;a iahwlües, pappi ja traainaelu, tõrwa, wärwifid ja wärnitsat, akna klaasi, kõiksugu ehituse-Waterjati, iiementj ja gipfi jne. muub odowa dmaa IIU.. SS.K2 Peterburi uul. ur. 1, Linda m. Hatmi uuliiiao nr. 7, ou äraiurauõ kaupmees M. Jücg?lislli-'i pood wäljaüürida. Lähemat teatust anucb 62,65 A. Mondsou.</p>"	Tartu (1886-1944)	postimeesew
